idDistricte,districte,biblioteca,visites,prestecs,prLlibre,habBiblio,pobl,numBiblios,bibcentmhab,prLlibresPrTotal,prTotlaVisita,prLlibreVisita,infoExtra
1,Ciutat Vella,Biblioteca Barceloneta-La Fraternitat,84919,64157,31073,25028.75 ,100115.00 ,4,3.995,48.43,0.76,0.37,
1,Ciutat Vella,Biblioteca Francesca Bonnemaison,144458,114844,62853,25028.75 ,100115.00 ,4,3.995,54.73,0.79,0.44,
1,Ciutat Vella,Biblioteca Gòtic-Andreu Nin,85241,52408,25302,25028.75 ,100115.00 ,4,3.995,48.28,0.61,0.30,
1,Ciutat Vella,Biblioteca Sant Pau-Santa Creu ,195987,89918,50596,25028.75 ,100115.00 ,4,3.995,56.27,0.46,0.26,
2,Eixample,Biblioteca Esquerra de l'Eix.-A. Centelles (1),331382,189834,117243,43926.33 ,263558.00 ,6,2.277,61.76,0.57,0.35,
2,Eixample,Biblioteca Fort Pienc  (2),89383,45543,2563,43926.33 ,263558.00 ,6,2.277,56.28,0.51,0.29,Tancada 16/6 – 31/12
2,Eixample,Biblioteca Joan Miró (3),43936,15574,9114,43926.33 ,263558.00 ,6,2.277,58.52,0.35,0.21,Tancada 1/1 – 8/10
2,Eixample,Biblioteca Sagrada Família (4),322837,182223,120082,43926.33 ,263558.00 ,6,2.277,65.90,0.56,0.37,Tancada 1/8 – 20/9
2,Eixample,Biblioteca Sant Antoni-Joan Oliver,143175,96993,57386,43926.33 ,263558.00 ,6,2.277,59.17,0.68,0.40,
2,Eixample,Biblioteca Sofia Barat,101088,71462,42371,43926.33 ,263558.00 ,6,2.277,59.29,0.71,0.42,
3,Sants-Montjuïc,Biblioteca Francesc Candel,146186,93846,46834,60252.33 ,180757.00 ,3,1.660,49.91,0.64,0.32,
3,Sants-Montjuïc,Biblioteca Poble-Sec Francesc Boix,9767,68878,39948,60252.33 ,180757.00 ,3,1.660,58.00,0.71,0.41,
3,Sants-Montjuïc,Biblioteca Vapor Vell,290584,148613,91899,60252.33 ,180757.00 ,3,1.660,61.84,0.51,0.32,
4,Les Corts,Biblioteca Can Rosés,111632,56538,32929,40765.00 ,81530.00 ,2,2.453,58.24,0.51,0.29,
4,Les Corts,Biblioteca Les Corts-Miquel Llongueras (5),11424,50384,32271,40765.00 ,81530.00 ,2,2.453,64.05,0.44,0.28,Tancada 1/7 – 31/10
5,Sarrià-Sant Gervasi,Biblioteca Clarà,84444,67067,38256,48944.67 ,146834.00 ,3,2.043,57.04,0.79,0.45,
5,Sarrià-Sant Gervasi,Biblioteca Collserola-Josep Miracle,28317,25725,13472,48944.67 ,146834.00 ,3,2.043,52.37,0.91,0.48,
